SeqParameter4	MeanExcitation	PMTExcitation	Parity	P0	time	CavIonDifference	CavityDrift	BField	BDrift	RSFreqReal	MacFreq00	MacFreq01	MacFreq02	MacFreq03	MacFreq04	MacFreq05	MacFreq06	MacFreq07	MacFreq08	MacFreq09	MacFreq10	MacFreq11	MacFreq12	MacFreq13	MacFreq14
0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.545728906E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
1.000000000E+0	9.900000000E-1	9.900000000E-1	9.900000000E-1	1.000000000E-2	9.900000000E-1	3.545728908E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
2.000000000E+0	9.500000000E-1	9.500000000E-1	9.500000000E-1	5.000000000E-2	9.500000000E-1	3.545728910E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
3.000000000E+0	8.600000000E-1	8.600000000E-1	8.600000000E-1	1.400000000E-1	8.600000000E-1	3.545728913E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
4.000000000E+0	9.300000000E-1	9.300000000E-1	9.300000000E-1	7.000000000E-2	9.300000000E-1	3.545728916E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
5.000000000E+0	9.500000000E-1	9.500000000E-1	9.500000000E-1	5.000000000E-2	9.500000000E-1	3.545728920E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
6.000000000E+0	9.500000000E-1	9.500000000E-1	9.500000000E-1	5.000000000E-2	9.500000000E-1	3.545728923E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
7.000000000E+0	8.700000000E-1	8.700000000E-1	8.700000000E-1	1.300000000E-1	8.700000000E-1	3.545728927E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
8.000000000E+0	9.400000000E-1	9.400000000E-1	9.400000000E-1	6.000000000E-2	9.400000000E-1	3.545728931E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
9.000000000E+0	7.500000000E-1	7.500000000E-1	7.500000000E-1	2.500000000E-1	7.500000000E-1	3.545728936E+9	7.357146218E+2	0.000000000E+0	4.131966245E+0	0.000000000E+0	3.189286554E+2	0.000000000E+0	2.318836487E+0	-1.156469651E+1	2.318836487E+0	-1.620238572E+1	-1.366739651E+1	2.315952000E+0	-1.363589651E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277989651E+1	-1.277989651E+1	3.534036487E+0	-1.155056450E+1
